comment,date
Hotel correct pour Yaoundé Chambre spacieuse et confortable.  Hotel un peu vieillot mais le confort est là.  Lors de mon séjour problème de wifi et de télé. C'est le Cameroun.  Petit conseil ne pas prendre de photos en ville. Cela peut coûter cher. , mars 2017
"En arrivant, je étais accueil pour les services de l'hôtel et logé au 2ème niveau. Dans la chambre il y a grand lit, garde robe, table pour travaillé, téléviseur et une fenêtre dont vous avez une vie panoramique d'un lac. la chambre était climatisé et il y a un terrasse digne de soit. Le service de restauration est impeccable en commençant par le petit déjeuner jusqu'au dîner", novembre 2015
"Malgré la vue agréable et une chambre acceptable, le restaurant et le petit déjeuner sont de niveau très médiocre, les toilettes du restaurant sont insalubres. Le restaurant montre un choix qu'il n'a pas et sous excuse de la grippe aviaire qui date déjà, les omelettes ne sont plus inclues au client dans le petit déjeuner. Le pire est que la gestion n'est pas digne de confiance. Même lors d'une réservation confirmée et lors du retour du Nord cela ne les dérange pas d'annoncer platement que malheureusement il n'y a plus de chambre. Pour se débarrasser du client ils le font amener et ceci aux frais du client à un hôtel qui ne vaut pas son prix et qui ne dispose pas d'internet l'hôtel Central. Voilà comment ils se débarrassent d'un client qui pourrait être gênant. Des gens sont sens", juillet 2016
Bon rapport qualité prix. A besoin dun coup de rafraichissement néanmoins. Le personnel est accueillant et. Souriant. La localisation est parfaite. Le lac dun côté le centre ville de Yaoundé de l'autre avec un accès rapide aux principaux points d'attraction de la ville., janvier 2016
"Bel hôtel, personnel courtois, petit déjeuner agréable en terrasse avec buffet copieux. La literie est confortable et la chambre spacieuse. Hélas les installations techniques laissent à désirer (coupures d'eau, wifi défaillant...).", septembre 2015
"J'ai séjourné 48h dans cet hôtel dans une chambre prestige. C'est la pire expérience hôtelière que j'ai vécu. L'accueil est bien mais peu largement mieux faire si la notion de qualité du service leur était inculquée. Les chambres sont SALES, DÉSUÈTES, le mobilier date d'un autre âge. La climatisation n'est pas entretenue et je suis enrhumée pour plusieurs jours. Le matelas est plus une planche qu'autre chose et il est plein d'acariens donc démangeaisons et trace sur ma peau. Cet endroit n'est pas entretenu et ne mérite pas de rester ouvert dans de telles conditions !", avril 2018
Les prix sont abordables. Le lieu assez reposant. Cependant beaucoup reste à faire quand au confort des clients ( sanitaire) surtout à améliorer dans certaines chambres. Toilette sans paillasson obligé de mouiller le sol de la chambre. , avril 2017
"Hotel correct et sa force réside dans la convivialité de ses dames à l'accueil et son célèbre monsieur Beauclair, toujours souriant et tiré à 4 épingles.  Des effets restent à faire dans le buffet petit déjeuné (assez monotone) et les écoulements d'eaux par les tuyauteries dans certaines chambres.  ", novembre 2016
"Les chambres sont bien tenues, wi-fi, éclairage correct, table de travail dans la chambre. Sympa pour un séjour professionnel. Je recommanderais de demander le taxi de l'hôtel pour les courses personnelles. Ce serait d'ailleurs l'option idéale si vous voyagez en groupe.", juillet 2016
"J'ai  séjourné dans cet hôtel  pendant  un week-end et j'avoue avoir été assez déçue  vu la notoriété de cet hôtel.  La salle de bain n'est  pas nickel  et la propreté laisse à désirer. Les serviettes sont usées  et effilées.  Le Wi-Fi quand il décide de marcher n'est  pas top, il vaut mieux miser sur sa propre connexion si on a un travail urgent.  Le personnel  est accueillant et souriant et le restaurant offre de bons plats aussi.   C'est  un  bon plan si vous voulez un hôtel  pas loin de l'aéroport  et en centre ville.", mai 2016
